text,output,flag,username,timestamp
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1j0fp0pquk.wav,,,2023-07-13 16:27:51.787481
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1jd5uwg9n4.wav,,,2023-07-13 16:28:05.379477
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1jyle9jjlm.wav,,,2023-07-13 16:28:05.898269
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1jhhf3fjqe.wav,,,2023-07-13 16:28:06.051974
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1jf0_w0vtj.wav,,,2023-07-13 16:28:06.163388
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1ja0w7yqmc.wav,,,2023-07-13 16:28:06.378416
hello,/data1/dengkaijun/workdirs/Digital-Human/src/flagged/output/tmpo637ce1jrkt2shbg.wav,,,2023-07-13 16:28:06.521719
近日，苹果公司起诉高通公司，状告其未按照相关合约进行合作，高通方面尚未回应。这句话中“其”指的是谁？,,,,2023-07-13 16:35:24.119913
近日，苹果公司起诉高通公司，状告其未按照相关合约进行合作，高通方面尚未回应。这句话中“其”指的是谁？,,,,2023-07-13 16:35:24.183524
,,,,2023-07-14 16:00:42.509609
